subject,subject_name,gender,item,item_singular,voicing,item_pair,order,vowel,stop,place,utterancelength,accent_type,prosodic_boundary,norming_voiceless_count,norming_schwa_total,norming_schwa_pure,usable,item_vowel_dur,vowel_dur,comment
15,Alex,male,griete,griet,voiceless,7,114+0i,i,t,alveolar,1.768,prenuclear,no,1,4,4,usable,102.61,146.059932,NA
15,Alex,male,nauke,nauk,voiceless,9,115+0i,au,k,velar,1.744,prenuclear,no,0,4,4,usable,160.76,137.654356,NA
15,Alex,male,schriege,schrieg,voiced,11,116+0i,i,g,velar,1.752,prenuclear,no,0,5,5,usable,143.52,125.161569,NA
15,Alex,male,froge,frog,voiced,4,122+0i,o,g,velar,1.736,prenuclear,no,1,2,2,usable,171.49,140.695857,NA
15,Alex,male,schmaube,schmaub,voiced,10,125+0i,au,b,labial,1.744,prenuclear,no,0,3,3,usable,178.34,128.149771,NA
15,Alex,male,blode,blod,voiced,1,126+0i,o,d,alveolar,1.672,prenuclear,no,2,2,2,usable,162.92,163.672235,NA
15,Alex,male,gake,gak,voiceless,5,129+0i,a,k,velar,1.632,prenuclear,no,1,3,3,usable,195.59,206.035576,NA
15,Alex,male,drude,drud,voiced,2,135+0i,u,d,alveolar,1.816,prenuclear,no,0,3,3,usable,157.96,141.823447,NA
15,Alex,male,frate,frat,voiceless,3,138+0i,a,t,alveolar,1.504,prenuclear,no,0,4,4,usable,144.68,168.989158,NA
15,Alex,male,klabe,klab,voiced,8,140+0i,a,b,labial,1.664,prenuclear,no,1,2,2,usable,157.49,161.983401,NA
6,Anne,female,pruge,prug,voiced,19,1+0i,u,g,velar,1.288,prenuclear,no,0,3,3,not_usable,140.88,91.014535,Prok
6,Anne,female,roge,rog,voiced,22,3+0i,o,g,velar,1.288,prenuclear,no,0,4,4,usable,167.1,106.513483,NA
6,Anne,female,quobe,quob,voiced,21,7+0i,o,b,labial,1.312,prenuclear,no,0,3,3,usable,145.83,102.215491,cant detect bo
6,Anne,female,prieke,priek,voiceless,18,8+0i,i,k,velar,1.32,prenuclear,no,1,3,3,usable,114.28,107.153578,NA
6,Anne,female,stauke,stauk,voiceless,24,9+0i,au,k,velar,1.4,prenuclear,no,0,2,2,usable,160.21,147.079199,NA
6,Anne,female,quate,quat,voiceless,20,13+0i,a,t,alveolar,1.408,prenuclear,no,1,2,2,usable,164.52,160.884608,NA
6,Anne,female,frupe,frup,voiceless,14,17+0i,u,p,labial,1.376,prenuclear,no,1,3,3,usable,100.5,60.366425,cant detect burst
6,Anne,female,flabe,flab,voiced,13,18+0i,a,b,labial,1.432,prenuclear,no,1,3,3,usable,181.37,129.185354,NA
6,Anne,female,jiede,jied,voiced,16,19+0i,i,d,alveolar,1.328,prenuclear,no,0,5,5,not_usable,151.45,98.269101,VQ e
6,Anne,female,schuge,schug,voiced,23,22+0i,u,g,velar,1.424,prenuclear,no,0,4,4,usable,153.12,83.59683,NA
6,Anne,female,mupe,mup,voiceless,17,27+0i,u,p,labial,1.32,prenuclear,no,1,1,1,usable,155.68,81.437965,NA
6,Anne,female,gaute,gaut,voiceless,15,28+0i,au,t,alveolar,1.408,prenuclear,no,0,4,4,usable,164.88,175.505628,NA
6,Anne,female,gake,gak,voiceless,5,39+0i,a,k,velar,1.368,prenuclear,no,1,3,3,usable,195.59,147.930989,Rauschen
6,Anne,female,griete,griet,voiceless,7,40+0i,i,t,alveolar,1.256,prenuclear,no,1,4,4,usable,102.61,109.27734,NA
6,Anne,female,klabe,klab,voiced,8,41+0i,a,b,labial,1.408,prenuclear,no,1,2,2,usable,157.49,132.735688,cant detect bo
6,Anne,female,wiepe,wiep,voiceless,12,42+0i,i,p,labial,1.36,prenuclear,no,2,3,3,usable,102.1,96.192238,NA
6,Anne,female,froge,frog,voiced,4,45+0i,o,g,velar,1.448,prenuclear,no,1,2,2,usable,171.49,109.959781,NA
6,Anne,female,gope,gop,voiceless,6,47+0i,o,p,labial,1.4,prenuclear,no,0,3,3,usable,120.77,116.572164,NA
6,Anne,female,frate,frat,voiceless,3,48+0i,a,t,alveolar,1.48,prenuclear,no,0,4,4,usable,144.68,154.961257,NA
6,Anne,female,blode,blod,voiced,1,50+0i,o,d,alveolar,1.416,deaccented,no,2,2,2,usable,162.92,137.701213,NA
6,Anne,female,schriege,schrieg,voiced,11,53+0i,i,g,velar,1.432,prenuclear,no,0,5,5,usable,143.52,104.810023,NA
6,Anne,female,nauke,nauk,voiceless,9,61+0i,au,k,velar,1.312,prenuclear,no,0,4,4,usable,160.76,147.386048,NA
6,Anne,female,drude,drud,voiced,2,65+0i,u,d,alveolar,1.376,prenuclear,no,0,3,3,not_usable,157.96,130.042039,VQ o ~ u
6,Anne,female,schmaube,schmaub,voiced,10,71+0i,au,b,labial,1.4,prenuclear,no,0,3,3,usable,178.34,122.20974,NA
6,Anne,female,quade,quad,voiced,20,73+0i,a,d,alveolar,1.336,prenuclear,no,1,3,3,usable,190.37,152.983431,NA
6,Anne,female,frube,frub,voiced,14,74+0i,u,b,labial,1.432,prenuclear,no,0,3,3,usable,126.51,94.677588,NA
6,Anne,female,quope,quop,voiceless,21,77+0i,o,p,labial,1.432,prenuclear,no,1,2,2,usable,146.96,122.106124,bw_release
6,Anne,female,stauge,staug,voiced,24,78+0i,au,g,velar,1.448,prenuclear,no,0,3,3,usable,169.76,162.746401,NA
6,Anne,female,pruke,pruk,voiceless,19,83+0i,u,k,velar,1.304,prenuclear,no,1,3,3,usable,92.5,76.9024,NA
6,Anne,female,priege,prieg,voiced,18,87+0i,i,g,velar,1.336,prenuclear,no,0,5,5,usable,142.02,98.061049,NA
6,Anne,female,mube,mub,voiced,17,88+0i,u,b,labial,1.408,prenuclear,no,1,4,4,usable,190.24,110.731443,NO RELEASE?
6,Anne,female,flape,flap,voiceless,13,91+0i,a,p,labial,1.52,prenuclear,no,0,5,5,not_usable,109.48,137.714946,q
6,Anne,female,schuke,schuk,voiceless,23,94+0i,u,k,velar,1.384,prenuclear,no,1,3,3,usable,113.14,87.1483,NA
6,Anne,female,roke,rok,voiceless,22,99+0i,o,k,velar,1.408,prenuclear,no,1,2,2,usable,155.85,108.546424,NA
6,Anne,female,gaude,gaud,voiced,15,104+0i,au,d,alveolar,1.44,prenuclear,no,0,3,3,usable,213.2,192.044382,NA
6,Anne,female,jiete,jiet,voiceless,16,105+0i,i,t,alveolar,1.416,prenuclear,no,2,3,3,usable,140.71,87.240181,NA
6,Anne,female,wiebe,wieb,voiced,12,112+0i,i,b,labial,1.376,prenuclear,no,0,4,4,usable,115.02,95.284917,NA
6,Anne,female,griede,gried,voiced,7,117+0i,i,d,alveolar,1.424,prenuclear,no,0,5,5,not_usable,116.35,133.457649,VQ e
6,Anne,female,drute,drut,voiceless,2,119+0i,u,t,alveolar,1.432,prenuclear,no,0,2,2,usable,111.7,133.479885,NA
6,Anne,female,frade,frad,voiced,3,120+0i,a,d,alveolar,1.52,prenuclear,no,1,3,3,usable,198.19,158.20243,NA
6,Anne,female,blote,blot,voiceless,1,122+0i,o,t,alveolar,1.504,prenuclear,no,2,2,2,usable,153.82,153.90014,NA
