word,syll1_coda,syll2_coda,syll2_td,frequency,prefix,stress_1700,stress_2005,stress_shifted
arrest,no,CC,yes,4.162781723775329,aC,oxytone,oxytone,0
assault,no,CC,yes,3.5336865647082343,aC,oxytone,oxytone,0
assay,no,0,no,2.1102132003465894,aC,oxytone,oxytone,0
attack,no,C,no,5.125450968524837,aC,oxytone,oxytone,0
attaint,no,C,yes,-1.3862943611198906,aC,oxytone,oxytone,0
attempt,no,CCC,yes,5.381048764145501,aC,oxytone,oxytone,0
award,no,C,yes,5.304547916298673,aC,oxytone,oxytone,0
command,no,CC,yes,4.098502572370764,comn,oxytone,oxytone,0
compare,yes,C,no,4.869455680633476,comn,oxytone,oxytone,0
control,yes,C,no,5.956484828211956,comn,oxytone,oxytone,0
compute,yes,C,yes,1.4469189829363254,comn,oxytone,oxytone,0
conceit,yes,C,yes,0.22314355131420976,comn,oxytone,oxytone,0
consent,yes,CC,yes,3.71965111278069,comn,oxytone,oxytone,0
concern,yes,C,no,5.018934096910951,comn,oxytone,oxytone,0
concert,yes,C,yes,3.2676659890376327,comn,oxytone,diatone,1
content,yes,CC,yes,4.359908829420263,comn,oxytone,diatone,1
surcharge,no,C,no,0.22314355131420976,sur,oxytone,diatone,1
surprise,no,C,no,4.178226046202803,sur,oxytone,oxytone,0
survey,no,0,no,4.702750514326955,sur,oxytone,diatone,1
eclipse,no,CC,no,1.6582280766035324,eC,oxytone,oxytone,0
effect,no,CC,yes,5.855787998137071,eC,oxytone,oxytone,0
elect,no,CC,yes,3.9749978045895347,eC,oxytone,oxytone,0
embrace,yes,C,no,3.056356895370426,eC,oxytone,oxytone,0
escape,no,C,no,4.334017415487521,eC,oxytone,oxytone,0
esteem,no,C,no,4.524502282920636,eC,oxytone,oxytone,0
essoin,no,C,no,-1.3862943611198906,eC,oxytone,oxytone,0
entail,yes,C,no,2.6567569067146595,eC,oxytone,oxytone,0
import,yes,C,yes,3.8122026701459353,iN,oxytone,diatone,1
impress,yes,C,no,2.7880929087757464,iN,oxytone,diatone,1
increase,yes,C,no,5.740596447778917,iN,oxytone,diatone,1
mistake,no,C,no,4.162781723775329,mis,oxytone,oxytone,0
misuse,yes,C,no,1.8325814637483102,mis,oxytone,oxytone,0
preserve,no,C,no,3.6951100038645723,pre,oxytone,oxytone,0
supply,no,0,no,5.143124477142335,sup,oxytone,oxytone,0
support,no,C,yes,5.9718993916131415,sup,oxytone,oxytone,0
