"","speaker","consonant","vowel","following_phone","word","gender","Voicing","Manner","base_vowel","base_vowel_AvIU","base_vowel_IvU","speaker_mean_f0","f0","utterance_num_syllables","local_f0"
"1","TU001","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,15.9442935043859,11,15.3823399240036
"2","TU001","b","i","n","1960","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.5135111898762,9,15.4057512456921
"3","TU001","b","i","n","1810","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.686731343777,18,15.4189903633592
"4","TU001","b","i","l","bilginin","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,12.8072053823767,3,12.8911298529716
"5","TU001","b","i","n","1950li","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,15.8008553344524,17,17.0883084774248
"6","TU001","b","i","z","bizler","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.3184489860926,26,16.387374696708
"7","TU001","d","i","sft","diğer","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.4382914568067,17,17.1704702586329
"8","TU001","b","i","z","bizi","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.0021457987094,15,15.2682174930765
"9","TU001","b","i","n","1940","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.2536080870419,26,16.2505186377054
"10","TU001","b","i","n","1893te","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,13.5169557558725,7,16.073335747292
"11","TU001","b","i","z","bizi","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.2155369133679,15,15.4245935539206
"12","TU001","g","i","r","girdiği","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.0950739894944,11,15.787861481378
"13","TU001","b","i","n","1980li","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.1388404171976,17,16.3582647873519
"14","TU001","b","i","n","1940","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.128916526014,26,16.1381526530593
"15","TU001","b","i","r","birleşmiş","female","voiced","plosive","I",0.333333333333333,-0.5,13.0168300337537,14.7303966944919,39,13.350580591413
"16","TU001","b","u","o","boigny","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,19.7097649868242,16,14.7812878051065
"17","TU001","b","u","t","bu","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,16.9434177442228,11,13.7079393639655
"18","TU001","b","u","o","boignyyi","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,15.7695103148512,25,15.219287302611
"19","TU001","b","u","g","bugün","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,16.7494424062328,13,15.51181172977
"20","TU001","b","u","o","boigny","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,18.6293598796512,38,14.587912285137
"21","TU001","b","u","ue","bu","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,17.8217138241488,15,13.7198659462811
"22","TU001","b","u","o","boigny","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,15.2273889858284,3,15.5166063077583
"23","TU001","b","u","j","bu","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,17.3584888776134,20,14.4611833531906
"24","TU001","d","u","l","duhl","female","voiced","plosive","U",0.333333333333333,0.5,13.0168300337537,13.8882888282573,1,16.7248730975001
